,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,age
2408,580000,97000,Diesel,Individual,Manual,1.0,26.0,1498 ,98.6,5.0,7
2409,200000,60000,Petrol,Individual,Manual,2.0,21.1,814 ,55.2,5.0,7
2410,245000,25000,Petrol,Individual,Manual,1.0,18.2,1199 ,84.8,5.0,8
2411,210000,94000,Petrol,Individual,Manual,2.0,20.36,1197 ,78.9,5.0,11
2412,50000,90000,Petrol,Individual,Manual,2.0,15.4,1590 ,94,5.0,16
2413,700000,50000,Diesel,Individual,Automatic,2.0,12.12,2231 ,184,7.0,9
2414,660000,35000,Diesel,Individual,Manual,1.0,22.95,1248 ,74,5.0,2
2415,630000,117500,Petrol,Individual,Manual,2.0,17.4,1497 ,117.3,5.0,6
2416,950000,78500,Diesel,Individual,Manual,1.0,15.1,2179 ,140,7.0,9
2417,740000,8000,Petrol,Individual,Manual,1.0,18.6,1197 ,81.83,5.0,3
2418,570000,25000,Petrol,Individual,Manual,1.0,18.12,1196 ,86.8,5.0,4
2419,450000,60000,Diesel,Individual,Manual,3.0,22.32,1582 ,126.32,5.0,9
2420,390000,10000,Petrol,Individual,Manual,1.0,22.5,999 ,67,5.0,2
2421,180000,70000,Petrol,Individual,Manual,2.0,14.2,1597 ,92,5.0,12
2422,130000,60000,Petrol,Individual,Manual,1.0,25.4,624 ,37.48,4.0,6
2423,270000,70000,Petrol,Individual,Manual,2.0,17.7,1497 ,78,5.0,15
2424,60000,25000,Petrol,Individual,Manual,3.0,16.1,796 ,37,4.0,24
2425,170000,90000,Petrol,Individual,Manual,3.0,13.9,1599 ,103.2,5.0,15
2426,978999,90000,Diesel,Individual,Manual,1.0,19.67,1582 ,126.2,5.0,6
2427,490000,25000,Petrol,Individual,Manual,1.0,23.84,1199 ,84,5.0,3
2428,280000,60000,Diesel,Individual,Manual,2.0,23.5,1498 ,88.7,5.0,9
2429,390000,25000,Petrol,Individual,Manual,1.0,23.84,1199 ,84,5.0,3
2430,170000,60000,Petrol,Individual,Manual,4.0,22.74,796 ,47.3,5.0,8
2431,45000,70000,Petrol,Individual,Manual,1.0,18.0,995 ,62,5.0,13
2432,640000,80000,Diesel,Individual,Manual,2.0,24.52,1248 ,88.5,7.0,5
2433,650000,110000,Diesel,Individual,Manual,2.0,15.4,2523 ,75,9.0,6
2434,500000,115717,Diesel,Individual,Manual,1.0,12.05,2179 ,120,9.0,8
2435,90000,110000,Diesel,Individual,Manual,2.0,17.7,1399 ,68,5.0,13
2436,480000,70000,Diesel,Individual,Manual,2.0,15.05,2179 ,147.9,7.0,7
2437,630000,4000,Petrol,Individual,Manual,1.0,21.21,1197 ,81.80,5.0,2
2438,250000,50000,Petrol,Individual,Manual,1.0,20.36,1197 ,78.9,5.0,10
2439,330000,70000,Petrol,Individual,Manual,4.0,18.9,1197 ,82,5.0,5
2440,180000,70000,Petrol,Individual,Manual,2.0,20.36,1197 ,78.9,5.0,12
2441,210000,50000,Petrol,Individual,Manual,2.0,18.5,1197 ,80,5.0,11
2442,550000,55000,Diesel,Individual,Manual,1.0,26.59,1248 ,74,5.0,5
2443,950000,5000,Petrol,Individual,Automatic,1.0,17.0,1198 ,108.5,5.0,1
2444,430000,100000,Diesel,Individual,Manual,2.0,15.96,2523 ,62.1,7.0,8
2445,348000,23000,Petrol,Individual,Manual,2.0,20.36,1197 ,78.9,5.0,7
2446,196000,60000,Petrol,Individual,Manual,2.0,22.74,796 ,47.3,5.0,7
2447,150000,70000,Petrol,Individual,Manual,2.0,18.9,1061 ,67,5.0,11
2449,150000,60000,Petrol,Individual,Manual,2.0,18.9,1061 ,67,5.0,12
2450,1250000,100000,Diesel,Individual,Manual,1.0,14.1,2179 ,153.86,7.0,2
2451,600000,90000,Diesel,Individual,Manual,3.0,20.77,1248 ,88.76,7.0,6
2452,65000,26432,Petrol,Dealer,Manual,1.0,25.4,624 ,37.48,4.0,11
2453,220000,46702,Petrol,Dealer,Manual,1.0,16.8,796 ,34.2,8.0,5
2454,220000,46706,Petrol,Dealer,Manual,1.0,16.8,796 ,34.2,8.0,5
2455,110000,53523,Petrol,Dealer,Manual,1.0,16.84,1193 ,64.4,5.0,15
2456,175000,56365,Diesel,Dealer,Manual,1.0,25.44,936 ,56.3,5.0,9
2457,160000,49563,Petrol,Dealer,Manual,1.0,16.2,995 ,62.1,5.0,10
2458,65000,56432,Petrol,Dealer,Manual,1.0,16.1,796 ,37,4.0,17
2459,60000,52365,Petrol,Dealer,Manual,2.0,16.1,796 ,37,4.0,19
2460,120000,53512,Petrol,Dealer,Manual,2.0,19.7,796 ,46.3,5.0,14
2462,1000000,40000,Diesel,Individual,Automatic,1.0,11.18,2696 ,184,7.0,8
2463,220000,46533,Petrol,Dealer,Manual,1.0,18.9,998 ,67.1,5.0,11
2465,114999,58632,Petrol,Dealer,Manual,2.0,14.0,796 ,35,5.0,13
2467,850000,80000,Diesel,Individual,Automatic,2.0,16.0,2179 ,140,7.0,5
2468,750000,70000,Diesel,Individual,Manual,1.0,24.52,1248 ,88.5,7.0,5
2469,265000,90000,Petrol,Individual,Manual,1.0,23.01,999 ,67,5.0,4
2470,450000,110000,Petrol,Individual,Manual,2.0,14.09,1596 ,99.6,5.0,7
2471,225000,90000,Diesel,Individual,Manual,1.0,17.21,1493 ,100,7.0,8
2472,1125000,70000,Diesel,Individual,Manual,1.0,15.4,2179 ,120,7.0,6
2473,270000,80000,Petrol,Individual,Manual,1.0,16.6,1197 ,85,5.0,12
2474,130000,78000,Petrol,Individual,Manual,1.0,19.7,796 ,46.3,5.0,14
2475,660000,45000,Diesel,Individual,Manual,1.0,16.5,1493 ,70,7.0,4
2476,240000,50000,Petrol,Individual,Manual,2.0,23.95,998 ,67.05,5.0,6
2477,275000,58000,Petrol,Individual,Manual,1.0,24.7,796 ,47.3,5.0,4
2478,750000,120000,Diesel,Individual,Manual,1.0,12.8,2494 ,102,8.0,9
2479,65000,30000,Petrol,Individual,Manual,2.0,14.7,1150 ,76,5.0,14
2480,850000,162000,Diesel,Individual,Manual,1.0,14.1,2179 ,147.94,7.0,4
2481,300000,50000,CNG,Individual,Manual,2.0,26.6,998 ,58.16,5.0,5
2482,555000,25000,Petrol,Individual,Manual,2.0,18.6,1197 ,81.83,5.0,3
2483,825000,60000,Diesel,Individual,Manual,1.0,15.4,1997 ,120,7.0,6
2484,150000,70000,LPG,Individual,Manual,3.0,13.45,1086 ,62.1,5.0,11
2485,185000,138000,Diesel,Individual,Manual,2.0,19.3,1248 ,73.9,5.0,12
2486,180000,70000,Petrol,Individual,Manual,2.0,20.36,1197 ,78.9,5.0,11
2487,160000,48000,Petrol,Individual,Manual,2.0,19.7,796 ,46.3,5.0,11
2488,500000,110000,Diesel,Individual,Automatic,1.0,11.4,2953 ,153.86,7.0,9
2489,375000,88000,Diesel,Individual,Manual,2.0,25.2,1248 ,74,5.0,7
2490,900000,68000,Diesel,Individual,Manual,1.0,12.99,2494 ,100.6,7.0,6
2491,459999,70000,Petrol,Individual,Manual,1.0,18.9,1197 ,82,5.0,4
2492,480000,80000,Diesel,Individual,Manual,1.0,20.45,1461 ,83.8,5.0,7
2493,320000,100000,Diesel,Individual,Manual,3.0,22.9,1248 ,74,5.0,8
2494,370000,96000,Diesel,Individual,Manual,2.0,22.9,1248 ,74,5.0,8
2496,75000,30000,Petrol,Individual,Manual,3.0,17.3,993 ,60,5.0,19
2497,400000,60000,Diesel,Individual,Manual,3.0,23.2,1248 ,73.94,5.0,5
2499,425000,65000,Diesel,Individual,Manual,1.0,25.2,1248 ,74,5.0,7
2500,325000,48000,Petrol,Individual,Manual,1.0,23.1,998 ,67.04,5.0,7
2501,350000,65300,Petrol,Individual,Manual,2.0,18.9,1197 ,82,5.0,5
2502,600000,40000,Petrol,Individual,Manual,1.0,18.6,1197 ,81.83,5.0,3
2503,120000,60000,Diesel,Individual,Manual,2.0,25.44,936 ,57.6,5.0,9
2504,200000,70000,Petrol,Individual,Manual,2.0,20.92,998 ,67.1,5.0,9
2505,100000,70000,Petrol,Individual,Manual,3.0,19.7,796 ,46.3,5.0,13
2506,350000,70000,Diesel,Individual,Manual,2.0,24.0,1120 ,70,5.0,7
2507,85000,150000,Petrol,Individual,Manual,2.0,19.7,796 ,46.3,5.0,15
2508,399000,10000,Petrol,Individual,Manual,1.0,23.95,998 ,67.05,5.0,2
2509,580000,56000,Diesel,Individual,Manual,1.0,22.32,1582 ,126.3,5.0,7
2510,290000,30000,Petrol,Individual,Manual,1.0,22.7,799 ,53.64,5.0,4
2511,380000,50000,Petrol,Individual,Manual,2.0,18.9,1197 ,82,5.0,7
2512,200000,120000,Diesel,Individual,Manual,1.0,20.0,1399 ,68,5.0,11
2513,390000,40000,CNG,Individual,Manual,1.0,26.6,998 ,58.16,5.0,3
2514,500000,27500,Petrol,Individual,Manual,1.0,18.9,1197 ,81.86,5.0,4
2515,520000,73000,Diesel,Individual,Manual,1.0,20.77,1248 ,88.76,7.0,9
2516,650000,75000,Diesel,Individual,Manual,1.0,26.59,1248 ,74,5.0,4
2517,380000,5000,Petrol,Individual,Manual,1.0,23.01,999 ,67,5.0,3
2518,275000,50000,LPG,Individual,Manual,1.0,26.2,998 ,58.2,5.0,11
2519,520000,70000,Diesel,Individual,Manual,1.0,26.59,1248 ,74,5.0,6
2520,610000,60000,Diesel,Individual,Manual,1.0,26.59,1248 ,74,5.0,6
2521,85000,110000,Petrol,Individual,Manual,1.0,18.9,998 ,67.1,5.0,17
2522,490000,95000,Diesel,Individual,Manual,1.0,20.46,1461 ,83.8,5.0,8
2523,229999,34000,Petrol,Individual,Manual,2.0,21.1,814 ,55.2,5.0,6
2524,411000,25000,Petrol,Individual,Manual,1.0,18.9,1197 ,82,5.0,6
2525,362000,120000,CNG,Individual,Manual,2.0,21.94,1196 ,61.7,5.0,2
2526,550000,31000,Diesel,Individual,Manual,1.0,23.59,1364 ,67.06,5.0,7
2527,459999,70000,CNG,Individual,Manual,1.0,26.6,998 ,58.16,5.0,3
2528,190000,47000,Petrol,Individual,Manual,1.0,18.5,1197 ,85.80,5.0,10
2529,499000,5000,Petrol,Individual,Automatic,1.0,20.3,1086 ,68,5.0,2
2530,358000,44000,Petrol,Individual,Manual,1.0,15.37,1196 ,73,7.0,3
2531,278000,120000,Diesel,Individual,Manual,2.0,23.59,1364 ,67.1,5.0,9
2532,320000,39395,Diesel,Individual,Manual,1.0,21.2,1248 ,75,5.0,7
2533,580000,67000,Diesel,Individual,Manual,2.0,20.4,1461 ,108.5,5.0,8
2534,1300000,20000,Petrol,Individual,Automatic,1.0,17.4,1497 ,117.6,5.0,2
2535,825000,40000,Diesel,Individual,Manual,1.0,25.8,1498 ,98.6,5.0,3
2536,170000,120000,Petrol,Individual,Manual,2.0,13.4,1794 ,125,5.0,17
2537,1700000,80000,Diesel,Individual,Manual,2.0,12.55,2982 ,168.5,7.0,7
2538,490000,7000,Petrol,Individual,Manual,1.0,20.3,1086 ,68,5.0,3
2539,1050000,15000,Diesel,Individual,Manual,1.0,16.0,2179 ,140,7.0,3
2540,210000,50000,Petrol,Individual,Manual,1.0,18.6,1199 ,76.8,5.0,5
2541,1250000,30000,Diesel,Individual,Manual,1.0,15.4,2179 ,120,7.0,5
2542,320000,120000,Diesel,Individual,Manual,2.0,22.9,1248 ,74,5.0,9
2543,400000,64000,Diesel,Individual,Manual,1.0,16.52,1991 ,123.7,5.0,9
2544,320000,120000,Diesel,Individual,Manual,1.0,23.2,1248 ,73.94,5.0,8
2545,600000,85000,Diesel,Individual,Manual,1.0,21.43,1364 ,87.2,5.0,9
2546,275000,50000,Petrol,Individual,Manual,1.0,20.92,998 ,67.1,5.0,9
2547,170000,59000,Petrol,Individual,Manual,2.0,19.7,796 ,46.3,5.0,12
2548,155000,98000,Diesel,Individual,Manual,1.0,25.44,936 ,57.6,5.0,9
2552,620000,140000,Diesel,Individual,Manual,2.0,20.45,1461 ,83.8,5.0,6
2553,530000,50000,Petrol,Individual,Manual,1.0,18.9,1197 ,81.86,5.0,4
2554,550000,40000,Diesel,Individual,Manual,1.0,23.59,1364 ,67.04,5.0,6
2555,600000,90000,Diesel,Individual,Manual,1.0,26.0,1498 ,98.6,5.0,7
2556,649000,117000,Diesel,Individual,Manual,3.0,15.1,2179 ,140,7.0,7
2557,625000,90000,Diesel,Individual,Manual,1.0,26.0,1498 ,98.6,5.0,7
2558,125000,70000,Petrol,Individual,Manual,1.0,16.0,995 ,63,5.0,11
2559,305000,230000,Diesel,Individual,Manual,2.0,13.58,2499 ,72.4,9.0,12
2560,285000,155000,Petrol,Individual,Manual,2.0,15.5,1586 ,103.3,5.0,11
2561,600000,60000,Diesel,Individual,Manual,2.0,13.49,2179 ,138.03,5.0,6
2562,426000,110000,Petrol,Individual,Manual,1.0,18.15,1198 ,82,6.0,5
2563,180000,120000,Diesel,Individual,Manual,1.0,17.0,1405 ,71,5.0,11
2564,400000,100000,Diesel,Individual,Manual,2.0,22.32,1582 ,126.32,5.0,10
2565,120000,40000,Petrol,Individual,Manual,2.0,18.6,1199 ,79.4,5.0,11
2566,300000,110000,Diesel,Individual,Manual,2.0,21.12,1248 ,88.8,5.0,9
2567,190000,92500,Petrol,Individual,Manual,2.0,20.92,998 ,67.1,5.0,10
2568,310000,20000,Petrol,Individual,Manual,1.0,24.7,796 ,47.3,5.0,4
2569,380000,15000,Petrol,Individual,Manual,1.0,25.17,799 ,53.3,5.0,2
2570,740000,14000,Diesel,Individual,Manual,1.0,16.5,1493 ,70,7.0,2
2571,260000,35000,Petrol,Individual,Manual,1.0,22.7,799 ,53.64,5.0,5
2572,320000,32000,Petrol,Individual,Manual,2.0,23.95,998 ,67.05,5.0,4
2573,211000,90000,CNG,Individual,Manual,1.0,26.6,998 ,58.16,5.0,8
2574,650000,35000,Petrol,Individual,Manual,1.0,22.0,1197 ,81.80,5.0,3
2575,651000,32500,Diesel,Individual,Manual,2.0,28.4,1248 ,74.02,5.0,4
2576,380000,14000,Petrol,Individual,Automatic,1.0,23.95,998 ,67.05,5.0,2
2577,160000,70000,Diesel,Individual,Manual,3.0,25.44,936 ,56.3,5.0,7
2578,1270000,20000,Petrol,Individual,Automatic,1.0,17.0,1591 ,121.3,5.0,2
2579,300000,300000,LPG,Individual,Manual,1.0,26.2,998 ,58.2,5.0,10
2580,405000,100000,Diesel,Individual,Manual,1.0,25.2,1248 ,74,5.0,6
2581,850000,64800,Diesel,Individual,Manual,1.0,15.1,2179 ,140,7.0,6
2582,680000,90000,Diesel,Individual,Manual,1.0,16.5,1493 ,70,7.0,4
2583,426999,80000,Petrol,Individual,Manual,1.0,19.1,1197 ,82,5.0,7
2584,525000,248000,Diesel,Individual,Manual,1.0,24.8,1396 ,88.7,5.0,6
2585,1019999,60000,Diesel,Individual,Manual,2.0,12.99,2494 ,100.6,7.0,7
2586,245000,120000,Diesel,Individual,Manual,1.0,12.8,2494 ,102,8.0,16
2587,869999,120000,Diesel,Individual,Manual,1.0,22.7,1582 ,126.2,5.0,6
2588,160000,66444,LPG,Individual,Manual,1.0,26.2,998 ,58.2,5.0,11
2589,700000,86000,Diesel,Individual,Manual,1.0,24.3,1248 ,88.5,5.0,5
2590,300000,90000,Diesel,Individual,Manual,1.0,21.64,1461 ,84.8,5.0,9
2591,175000,218463,Petrol,Individual,Automatic,1.0,12.9,1799 ,130,5.0,14
2592,960000,153000,Diesel,Individual,Manual,1.0,12.8,2494 ,102,8.0,9
2593,525000,70000,Diesel,Individual,Manual,2.0,16.55,2498 ,105,6.0,7
2594,345000,60000,Diesel,Individual,Manual,1.0,24.0,1120 ,70,5.0,6
2595,390000,50000,Petrol,Individual,Manual,1.0,18.0,1198 ,86.7,5.0,6
2596,275000,20000,Petrol,Individual,Manual,1.0,20.63,1198 ,67,5.0,6
2597,310000,35000,Petrol,Individual,Manual,1.0,18.2,1199 ,82.4,5.0,7
2598,500000,20000,Petrol,Individual,Manual,1.0,18.9,1197 ,81.86,5.0,4
2599,200000,70000,Diesel,Individual,Manual,1.0,22.1,1248 ,76.9,5.0,8
2600,650000,53000,Diesel,Individual,Manual,1.0,20.14,1498 ,88,5.0,3
2601,1031000,60000,Diesel,Individual,Manual,1.0,25.6,1498 ,97.9,5.0,3
2602,330000,70000,Petrol,Individual,Manual,1.0,20.3,998 ,68.05,5.0,3
2603,399000,4000,Petrol,Individual,Manual,1.0,20.3,1086 ,68,5.0,2
2604,250000,103000,Petrol,Individual,Manual,1.0,20.36,1197 ,78.9,5.0,9
2605,600000,20000,Diesel,Individual,Manual,1.0,24.0,1186 ,73.97,5.0,4
2606,375000,77000,Diesel,Individual,Manual,1.0,22.9,1248 ,74,5.0,8
2607,375000,90000,Diesel,Individual,Manual,1.0,20.54,1598 ,103.6,5.0,9
2608,445000,87185,Diesel,Individual,Manual,2.0,22.32,1582 ,126.3,5.0,8
2609,55000,167000,Petrol,Individual,Manual,2.0,18.9,998 ,67.1,5.0,18
2610,611000,77000,Diesel,Individual,Manual,1.0,22.54,1396 ,88.73,5.0,5
2611,459999,110000,Diesel,Individual,Manual,2.0,24.8,1396 ,88.7,5.0,7
2612,275000,120000,Diesel,Individual,Manual,2.0,17.8,1399 ,68,5.0,10
2613,185000,170000,CNG,Individual,Manual,1.0,11.88,1086 ,62.1,5.0,10
2614,390000,100000,Diesel,Individual,Manual,2.0,22.32,1582 ,126.32,5.0,9
2615,72000,40000,Petrol,Individual,Manual,2.0,18.0,995 ,62,5.0,14
2616,90000,50000,Diesel,Individual,Manual,1.0,17.88,1396 ,52.8,5.0,14
2617,500000,125000,Diesel,Individual,Manual,1.0,23.59,1364 ,67.05,5.0,6
2618,200000,137000,CNG,Individual,Manual,1.0,26.2,998 ,58.2,5.0,10
2619,1575000,18000,Diesel,Individual,Manual,1.0,15.1,2179 ,152.87,7.0,2
2620,511000,30000,Petrol,Individual,Manual,1.0,18.9,1197 ,82,5.0,6
2621,150000,55000,Petrol,Individual,Manual,1.0,14.6,1368 ,88.7,5.0,12
2622,1500000,40000,Petrol,Individual,Automatic,1.0,10.75,2694 ,163.7,8.0,1
2623,185000,80000,Petrol,Individual,Manual,2.0,22.74,796 ,47.3,5.0,8
2624,550000,30000,Petrol,Individual,Manual,1.0,21.4,1197 ,83.1,5.0,3
2625,325000,3564,Petrol,Individual,Manual,1.0,23.95,998 ,67.05,5.0,4
2626,525000,80000,Diesel,Individual,Manual,1.0,26.59,1248 ,74,5.0,6
2627,1050000,13000,Diesel,Individual,Manual,1.0,17.0,2200 ,139.01,7.0,3
2628,300000,120000,Diesel,Individual,Manual,1.0,25.0,1396 ,69,5.0,9
2629,120000,90000,Petrol,Individual,Manual,1.0,18.6,1199 ,79.4,5.0,10
2630,2625000,9000,Diesel,Dealer,Automatic,1.0,13.6,1999 ,177,5.0,4
2631,5150000,20000,Petrol,Dealer,Automatic,1.0,22.37,2487 ,214.56,5.0,2
2632,3200000,45000,Diesel,Dealer,Automatic,1.0,19.33,1999 ,177,5.0,4
2633,503000,110000,Diesel,Individual,Manual,1.0,14.1,2179 ,147.94,7.0,6
2634,3800000,20000,Diesel,Individual,Automatic,1.0,18.0,1969 ,190,5.0,2
2635,2000000,68089,Petrol,Trustmark Dealer,Automatic,1.0,19.16,2494 ,157.7,5.0,5
2636,225000,58343,Petrol,Trustmark Dealer,Manual,1.0,21.79,998 ,67.05,5.0,8
2637,740000,38817,Diesel,Dealer,Manual,1.0,27.39,1248 ,74,5.0,3
2638,550000,56494,Petrol,Trustmark Dealer,Manual,1.0,18.2,1199 ,88.7,5.0,5
2639,750000,79328,Diesel,Trustmark Dealer,Manual,2.0,12.99,2494 ,100.6,7.0,8
2640,650000,5621,Petrol,Trustmark Dealer,Automatic,1.0,22.0,1197 ,81.80,5.0,2
2641,625000,25538,Petrol,Trustmark Dealer,Manual,1.0,16.78,1496 ,88.73,5.0,4
2642,600000,69779,Petrol,Dealer,Automatic,1.0,22.0,1197 ,81.80,5.0,3
2643,450000,56290,Diesel,Dealer,Manual,1.0,24.0,1186 ,73.97,5.0,4
2644,5400000,7500,Diesel,Dealer,Automatic,1.0,16.78,1995 ,190,5.0,2
2645,5500000,8500,Diesel,Dealer,Automatic,1.0,16.78,1995 ,190,5.0,2
2646,779000,7032,Petrol,Trustmark Dealer,Automatic,1.0,19.0,1199 ,88.76,5.0,2
2647,645000,11000,Petrol,Dealer,Automatic,1.0,14.3,1598 ,103.5,5.0,5
2648,2475000,2000,Diesel,Dealer,Automatic,1.0,16.8,1984 ,150,5.0,3
2649,170000,50000,Petrol,Individual,Manual,3.0,17.92,1086 ,62.1,5.0,10
2650,320000,42000,Diesel,Individual,Manual,1.0,23.03,1396 ,69,5.0,11
2651,350000,17000,Petrol,Individual,Automatic,1.0,23.1,998 ,67.04,5.0,5
2652,500000,40000,Petrol,Individual,Automatic,1.0,22.0,1197 ,81.80,5.0,3
2653,135000,137000,Diesel,Individual,Manual,2.0,17.0,1405 ,70,5.0,12
2654,340000,20000,Petrol,Individual,Manual,1.0,25.17,799 ,53.3,5.0,3
2655,330000,70000,Petrol,Individual,Manual,2.0,18.9,1197 ,81.86,5.0,1
2656,350000,48756,Petrol,Individual,Manual,2.0,15.5,1586 ,103.3,5.0,10
2657,1850000,30000,Diesel,Individual,Automatic,2.0,12.55,2982 ,168.5,7.0,6
2658,400000,110000,Diesel,Individual,Manual,1.0,24.4,1120 ,71,5.0,5
2659,325000,80322,Diesel,Dealer,Manual,1.0,17.8,1399 ,67,5.0,7
2660,1000000,35000,Diesel,Individual,Manual,1.0,15.4,1997 ,120,7.0,6
2661,850000,110000,Diesel,Individual,Manual,1.0,15.4,2523 ,75,7.0,4
2662,350000,70000,Diesel,Individual,Manual,2.0,21.5,1248 ,88.8,5.0,9
2663,2625000,9000,Diesel,Dealer,Automatic,1.0,13.6,1999 ,177,5.0,4
2664,5150000,20000,Petrol,Dealer,Automatic,1.0,22.37,2487 ,214.56,5.0,2
2665,3200000,45000,Diesel,Dealer,Automatic,1.0,19.33,1999 ,177,5.0,4
2666,503000,110000,Diesel,Individual,Manual,1.0,14.1,2179 ,147.94,7.0,6
2667,3800000,20000,Diesel,Individual,Automatic,1.0,18.0,1969 ,190,5.0,2
2668,2000000,68089,Petrol,Trustmark Dealer,Automatic,1.0,19.16,2494 ,157.7,5.0,5
2669,225000,58343,Petrol,Trustmark Dealer,Manual,1.0,21.79,998 ,67.05,5.0,8
2670,740000,38817,Diesel,Dealer,Manual,1.0,27.39,1248 ,74,5.0,3
2671,550000,56494,Petrol,Trustmark Dealer,Manual,1.0,18.2,1199 ,88.7,5.0,5
2672,750000,79328,Diesel,Trustmark Dealer,Manual,2.0,12.99,2494 ,100.6,7.0,8
2673,650000,5621,Petrol,Trustmark Dealer,Automatic,1.0,22.0,1197 ,81.80,5.0,2
2674,625000,25538,Petrol,Trustmark Dealer,Manual,1.0,16.78,1496 ,88.73,5.0,4
2675,600000,69779,Petrol,Dealer,Automatic,1.0,22.0,1197 ,81.80,5.0,3
2676,450000,56290,Diesel,Dealer,Manual,1.0,24.0,1186 ,73.97,5.0,4
2677,5400000,7500,Diesel,Dealer,Automatic,1.0,16.78,1995 ,190,5.0,2
2678,5500000,8500,Diesel,Dealer,Automatic,1.0,16.78,1995 ,190,5.0,2
2679,779000,7032,Petrol,Trustmark Dealer,Automatic,1.0,19.0,1199 ,88.76,5.0,2
2680,645000,11000,Petrol,Dealer,Automatic,1.0,14.3,1598 ,103.5,5.0,5
2681,2475000,2000,Diesel,Dealer,Automatic,1.0,16.8,1984 ,150,5.0,3
2683,550000,120000,Diesel,Individual,Manual,2.0,24.5,1498 ,98.6,7.0,6
2684,925000,60000,Diesel,Individual,Manual,1.0,14.0,2179 ,138.1,7.0,6
2685,509999,97000,Diesel,Individual,Automatic,2.0,11.79,2179 ,120,8.0,11
2686,250000,100000,Diesel,Individual,Manual,2.0,13.0,2489 ,95,8.0,10
2687,500000,36000,Petrol,Individual,Manual,1.0,17.19,1197 ,81.86,5.0,6
2688,1050000,27000,Diesel,Individual,Manual,1.0,21.38,1396 ,88.7,5.0,2
2689,490000,50000,Diesel,Individual,Manual,1.0,23.4,1248 ,74,5.0,7
2690,415000,15000,Petrol,Individual,Manual,1.0,15.37,1196 ,73,5.0,1
2691,190000,60000,Petrol,Individual,Manual,2.0,22.74,796 ,47.3,5.0,8
2692,680000,120000,Diesel,Individual,Manual,1.0,28.4,1248 ,74.02,5.0,3
2693,190000,60000,Petrol,Individual,Manual,2.0,22.74,796 ,47.3,5.0,8
2694,479000,173000,Diesel,Individual,Manual,1.0,12.05,2179 ,120,7.0,8
2695,270000,60000,Petrol,Individual,Manual,2.0,22.74,796 ,47.3,5.0,5
2696,170000,70000,Petrol,Individual,Manual,3.0,19.81,1086 ,68.05,5.0,13
2697,764000,25000,Petrol,Individual,Manual,1.0,20.73,1373 ,91.1,5.0,3
2698,710000,30000,Diesel,Individual,Manual,1.0,15.96,2523 ,62.1,7.0,2
2699,310000,35000,Petrol,Individual,Manual,1.0,24.7,796 ,47.3,5.0,4
2700,620000,100000,Diesel,Individual,Manual,2.0,16.5,1493 ,70,7.0,4
2701,280000,31000,Petrol,Individual,Manual,2.0,21.1,814 ,55.2,5.0,4
2702,1500000,80000,Diesel,Individual,Automatic,2.0,12.55,2982 ,168.5,7.0,6
2703,450000,40000,Petrol,Individual,Manual,1.0,18.9,1197 ,82,5.0,5
2704,2199000,10000,Diesel,Individual,Automatic,2.0,17.9,2143 ,136,5.0,4
2705,3600000,50000,Diesel,Individual,Automatic,1.0,11.74,2987 ,254.8,5.0,8
2706,285000,60000,Petrol,Individual,Manual,2.0,15.3,1596 ,99.6,5.0,13
2707,465000,210000,Diesel,Individual,Manual,2.0,12.8,2494 ,102,8.0,14
2708,1100000,60000,Diesel,Individual,Automatic,2.0,16.07,1995 ,181,5.0,12
2709,350000,110000,Diesel,Individual,Manual,2.0,20.54,1598 ,103.6,5.0,10
2710,600000,35000,Petrol,Individual,Manual,1.0,17.5,1373 ,91.1,7.0,4
2711,570000,35000,Petrol,Individual,Manual,1.0,21.4,1197 ,83.1,5.0,4
2712,325000,20000,Petrol,Individual,Manual,1.0,23.95,998 ,67.05,5.0,5
2713,975000,54000,Diesel,Individual,Automatic,1.0,16.0,1997 ,140,7.0,5
2714,480000,60000,Petrol,Individual,Manual,1.0,18.6,1197 ,81.83,5.0,6
2715,185000,10300,Petrol,Individual,Manual,1.0,22.74,796 ,47.3,5.0,7
2716,1050000,50000,Diesel,Individual,Automatic,1.0,17.01,1582 ,126.2,5.0,6
2717,760000,3000,Petrol,Individual,Manual,1.0,21.01,1197 ,81.80,5.0,2
2718,570000,5000,Petrol,Individual,Manual,1.0,18.78,999 ,75,5.0,2
2720,700000,13000,Petrol,Individual,Manual,1.0,21.4,1197 ,83.1,5.0,3
2721,775000,30000,Petrol,Individual,Automatic,1.0,15.63,1499 ,110.4,5.0,6
2722,750000,60000,Diesel,Individual,Automatic,2.0,14.49,2993 ,258,5.0,14
2723,140000,100000,Petrol,Individual,Manual,2.0,18.0,995 ,62,5.0,11
2724,220000,40000,Petrol,Individual,Manual,1.0,22.74,796 ,47.3,5.0,5
2725,184000,15000,Petrol,Individual,Manual,1.0,0.0,1086 ,62.1,5.0,8
2727,440000,50000,Petrol,Individual,Manual,2.0,18.6,1197 ,81.83,5.0,4
2728,650000,80000,Diesel,Individual,Manual,1.0,21.19,1396 ,88.73,5.0,4
2729,660000,50000,Diesel,Individual,Automatic,1.0,18.49,1493 ,100,7.0,4
2730,380000,30000,CNG,Individual,Manual,1.0,21.94,1196 ,61.7,5.0,4
2731,415000,125000,Diesel,Individual,Manual,2.0,21.43,1364 ,87.2,5.0,9
